PID,Sale_Price
908276150,76406.28
903451090,147558.0
527110080,182291.67
535457010,141011.53
903484020,140651.45
905479110,117487.65
527452310,135129.61
528228445,182266.98
923225370,98513.1
528344040,335605.6
532377050,138515.36
535176050,140911.52
906340100,348259.12
533212050,156452.3
909428180,190372.2
535379110,135200.25
534250400,178523.05
527450520,104918.37
527452150,140100.03
903225040,121878.414
911370410,277909.66
905226080,144925.9
914467050,202141.92
908152260,148023.53
534451170,86862.34
923228310,80650.18
910201180,146392.52
534476100,135434.72
923225080,129597.42
906223210,230859.94
905480150,76198.31
903452090,124007.81
527208010,328664.0
906426090,161964.97
903231090,131978.94
535152280,143588.83
528458180,233972.28
532354060,122446.48
909279040,110788.94
527353060,269172.84
916176030,161476.83
533110130,251719.69
911370450,249770.8
528118110,302389.6
528228270,194163.8
905480240,84411.12
914460020,205829.64
534428060,138192.36
534252240,168019.22
908102050,111142.71
914475030,172286.88
533221040,172596.05
535451170,90211.41
905451340,97420.75
528118040,467777.47
903200080,204333.84
527162110,191122.77
535381040,161820.77
528174020,199422.38
534400290,164074.78
903206070,135424.52
533252130,197247.39
906382030,237613.75
535327200,137725.56
535455080,112738.67
527354160,170008.86
902207120,98915.27
909282060,192169.11
902109140,125989.125
902206270,130725.65
533250050,232158.14
909452050,236554.92
527212060,324538.62
906394060,200302.58
534401120,160959.92
528435010,211985.61
528315080,269691.38
909275030,148266.83
528102010,392558.8
907200290,150519.12
902300260,125112.31
528150110,360287.53
535450100,139626.52
907285010,232514.66
533253210,205041.08
527301280,166560.88
905478140,137128.45
902204080,90886.0
907201280,139201.33
905476170,90665.51
923228210,87123.34
534226120,130904.17
527301170,219512.56
535453040,132505.1
535150300,288628.6
528363020,310143.6
907265100,215942.27
910200060,136901.75
532376160,131622.1
908204180,66839.67
909282130,147421.84
528326110,306546.97
534176230,169270.33
527302210,215022.86
526355170,254380.05
535305180,135494.92
905452150,128738.836
902201090,142315.11
527452190,147546.03
908275280,134320.92
527402210,138520.12
921126010,299958.0
905109130,276798.72
535425070,178629.16
905200290,162660.14
533253060,155917.56
535179050,140321.33
903476100,81012.57
533135020,245412.8
527403120,110288.414
528429080,256923.44
528354100,257034.95
902427150,116290.54
527226040,148760.56
924100060,181722.17
531452180,211371.11
907252050,216809.56
903236200,113975.82
910201130,117251.805
909100080,115538.73
535402010,173840.11
528186100,325382.8
905225020,209880.06
905201110,163437.45
527158090,175688.95
528175010,216478.58
902401010,112048.92
534251320,161025.17
902109120,128413.89
528290170,188879.55
534252060,145502.84
905475510,121226.24
527425060,102741.49
534201130,137013.28
526302110,115295.58
903430050,80973.1
902110130,106798.39
534401110,152198.73
528231020,175330.6
531479020,72023.22
905403060,108111.0
916326010,228092.23
527365030,234593.42
528228295,194680.19
527455250,124931.32
916403040,176976.75
527252090,320189.47
908225240,103914.32
528228285,168007.36
908178050,241997.75
916326040,182907.08
916380060,271782.22
903204010,133229.25
528144020,216690.28
906204230,243298.25
528168030,284083.38
531369060,188966.03
535451100,97230.29
906380010,183511.62
527450460,99628.25
534277070,118565.39
532353050,134168.83
527105140,194605.75
908102330,109730.484
907135230,146462.48
908250030,74678.484
902103090,117743.27
528458120,253358.11
535425060,161146.08
527404100,129926.1
905475160,127646.62
902100010,104971.71
534202020,135824.7
533251110,261498.06
528435050,289581.72
914476130,153336.72
924100050,141658.92
909428280,303897.84
906230020,268518.78
923230180,134552.34
907420090,180013.67
534250010,145851.83
532353020,121296.32
906380180,183192.16
531363020,137232.6
906230010,277926.62
923225300,90702.17
527252050,309524.84
923225440,94729.55
907280090,232901.69
527183030,191907.94
535402220,166558.33
532376250,125977.47
914474020,204679.64
907275090,223377.19
528138030,354023.53
908154195,263382.44
527402240,157134.3
903228150,129705.734
531451020,207563.52
909275250,151927.84
903484080,80525.52
534202170,137303.94
906225180,204934.53
916460110,207438.84
528174010,191719.53
528228360,220718.97
903233140,126346.6
535153150,162570.5
533212020,154522.25
909428170,229386.03
534129060,204015.48
527163080,171939.22
908275290,131045.32
903201020,141342.73
528431110,309122.47
903454060,64287.73
903206120,189110.06
527131110,239220.12
906203120,299055.97
908102140,124637.62
527107210,184824.14
923204140,146282.27
527427200,185574.95
528186170,220141.28
906226070,116270.35
527357110,141446.97
534278170,137606.75
534427090,124006.16
905451390,152530.47
534152120,165876.23
535179120,117468.83
528435060,263633.97
534427140,154597.72
903429110,139926.84
535105110,164526.67
528366070,269693.44
534129040,176281.06
535454070,116974.15
903429080,157375.61
906226090,135014.19
534479130,151416.8
527451290,101799.14
527106150,198674.27
916253320,238605.64
916455010,203033.17
907201220,137220.28
908188150,140936.25
527325090,192192.38
906402070,251837.83
909101010,129790.25
528221100,174427.33
528480170,263562.6
906475110,190464.27
903228080,128382.42
528228575,292860.03
907227080,128501.36
905109170,242131.17
528228545,176219.7
534275010,133298.52
903425340,122833.73
902128160,123874.36
533215040,244960.11
911202100,76144.414
528456230,208614.11
535353160,121363.77
902100030,81646.945
528174070,199684.42
528445070,242958.11
902105060,120704.0
909101140,135882.36
532354160,124077.13
528138060,206424.5
527107090,193959.3
904100090,166338.0
528458130,300222.44
535477130,154746.86
533223010,164536.4
528108140,344252.34
907202130,150742.66
527131030,254446.3
527453010,158985.8
907280170,209800.62
528172030,300958.6
905480210,109711.86
902402010,145567.23
528228555,170178.86
902404010,142324.75
907253110,229788.25
906204150,256146.44
910201050,117343.42
528174030,197736.89
532476050,297129.4
907265030,231987.94
902109160,106764.586
903231240,107553.836
902103150,128515.695
528174040,200653.03
916125425,216335.97
531478010,114802.28
916403250,232279.72
923252080,119163.58
534175140,138858.58
902201120,97136.586
534276190,103950.59
906392090,252372.53
916402015,195363.69
905103110,126538.45
907203090,115453.58
903205085,132024.39
528110080,370617.75
903225140,118622.164
903458110,99303.65
535325350,132191.44
528439010,228147.92
535355100,115937.41
905100060,130894.31
903231080,114988.23
902300110,113015.86
527451460,105785.03
535475010,131808.75
528174050,201916.5
527450250,105043.516
905351089,177989.77
535175050,143973.03
923226270,95530.72
908226120,109515.75
531375130,156771.62
905401020,264155.44
527356050,136185.16
534478140,151719.77
531375120,156481.39
908201100,79163.24
535383060,48526.88
534250370,257180.84
528116010,327397.66
921126030,278679.3
531375100,162200.84
535150210,136854.23
535327160,129592.98
528228440,178764.3
528120170,304932.8
527325110,186529.02
528108010,262695.34
909251170,152994.62
528250020,190431.22
527105060,193112.12
534426110,142768.73
534201250,158345.88
907200170,140310.1
908102170,149968.92
535126100,160668.53
533251130,192294.88
532354090,154861.86
905427070,256207.75
528250010,171124.08
905101490,134413.19
527107010,179649.58
534204120,146577.77
528480100,192727.4
535376010,100735.37
908102260,152545.73
534104100,197076.47
909250220,163617.27
923252075,142635.78
528480040,258111.11
903206160,171657.75
527106050,172697.8
910226060,134731.08
902207080,124653.43
535376100,112973.3
535450160,96459.28
908186070,145341.28
528385050,239809.69
903200050,86836.664
903232030,90855.06
527163100,178801.12
907255020,252838.69
528488120,185238.47
527328050,162840.34
907192090,211510.03
907135170,144066.98
905201090,159905.6
905107240,163182.5
907126030,146080.83
902128150,158439.84
527132090,209295.42
534402060,151452.33
531477040,155681.62
903430060,118603.5
907254050,205097.98
